source,target,paper_title
Marc A Emerson,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Hazel B Nichols,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Sarah C Van Alsten,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Caroline A Thompson,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Sarah C Van Alsten,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Hazel B Nichols,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Sarah C Van Alsten,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Mya L Roberson,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Mya L Roberson,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Mya L Roberson,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Mya L Roberson,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Mya L Roberson,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Stephanie B Wheeler,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Stephanie B Wheeler,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Stephanie B Wheeler,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Stephanie B Wheeler,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Lisa A Carey,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Lisa A Carey,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Lisa A Carey,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Terry Hyslop,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Terry Hyslop,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Jennifer Elston Lafata,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Limei Cao,Didong Li,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Limei Cao,Erchuan Zhang,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Limei Cao,Zhenning Zhang,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Limei Cao,Huafei Sun,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Didong Li,Erchuan Zhang,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Didong Li,Zhenning Zhang,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Didong Li,Huafei Sun,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Erchuan Zhang,Zhenning Zhang,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Erchuan Zhang,Huafei Sun,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Zhenning Zhang,Huafei Sun,A statistical cohomogeneity one metric on the upper plane with constant negative curvature
Alexandra Badea,Didong Li,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Andrei R Niculescu,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Robert J Anderson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Jacques A Stout,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Christina L Williams,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Alexandra Badea,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Andrei R Niculescu,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Robert J Anderson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Jacques A Stout,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Christina L Williams,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Didong Li,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,Robert J Anderson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,Jacques A Stout,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,Christina L Williams,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrei R Niculescu,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Robert J Anderson,Jacques A Stout,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Robert J Anderson,Christina L Williams,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Robert J Anderson,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Robert J Anderson,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Robert J Anderson,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Jacques A Stout,Christina L Williams,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Jacques A Stout,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Jacques A Stout,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Jacques A Stout,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Christina L Williams,Carol A Colton,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Christina L Williams,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Christina L Williams,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Carol A Colton,Nobuyo Maeda,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Carol A Colton,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Nobuyo Maeda,David B Dunson,Absolute Winding Number Differentiates Mouse Spatial Navigation Strategies With Genetic Risk for Alzheimer’s Disease
Andrew Jones,F William Townes,Alignment of spatial genomics data using deep Gaussian processes
Andrew Jones,Didong Li,Alignment of spatial genomics data using deep Gaussian processes
Andrew Jones,Barbara E Engelhardt,Alignment of spatial genomics data using deep Gaussian processes
F William Townes,Didong Li,Alignment of spatial genomics data using deep Gaussian processes
F William Townes,Barbara E Engelhardt,Alignment of spatial genomics data using deep Gaussian processes
Didong Li,Barbara E Engelhardt,Alignment of spatial genomics data using deep Gaussian processes
Buxin Su,Jiayao Zhang,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Natalie Collina,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Yuling Yan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Didong Li,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Kyunghyun Cho,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Buxin Su,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Natalie Collina,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Yuling Yan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Didong Li,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Kyunghyun Cho,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jiayao Zhang,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Yuling Yan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Didong Li,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Kyunghyun Cho,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Natalie Collina,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Yuling Yan,Didong Li,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Yuling Yan,Kyunghyun Cho,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Yuling Yan,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Yuling Yan,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Yuling Yan,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Didong Li,Kyunghyun Cho,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Didong Li,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Didong Li,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Didong Li,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Kyunghyun Cho,Jianqing Fan,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Kyunghyun Cho,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Kyunghyun Cho,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jianqing Fan,Aaron Roth,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Jianqing Fan,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Aaron Roth,Weijie J Su,Analysis of the ICML 2023 Ranking Data: Can Authors' Opinions of Their Own Papers Assist Peer Review in Machine Learning?
Aritra Halder,Didong Li,Bayesian Spatiotemporal Wombling
Aritra Halder,Sudipto Banerjee,Bayesian Spatiotemporal Wombling
Didong Li,Sudipto Banerjee,Bayesian Spatiotemporal Wombling
Didong Li,David B Dunson,Classification via local manifold approximation
Jordan Bryan,Didong Li,Comments on contemporary uses of machine learning for electronic health records
Sam Hawke,Yueen Ma,Contrastive dimension reduction: when and how?
Sam Hawke,Didong Li,Contrastive dimension reduction: when and how?
Yueen Ma,Didong Li,Contrastive dimension reduction: when and how?
Sam Hawke,Hengrui Luo,Contrastive inverse regression for dimension reduction
Sam Hawke,Didong Li,Contrastive inverse regression for dimension reduction
Hengrui Luo,Didong Li,Contrastive inverse regression for dimension reduction
Andrew Jones,F William Townes,Contrastive latent variable modeling with application to case-control sequencing experiments
Andrew Jones,Didong Li,Contrastive latent variable modeling with application to case-control sequencing experiments
Andrew Jones,Barbara E Engelhardt,Contrastive latent variable modeling with application to case-control sequencing experiments
F William Townes,Didong Li,Contrastive latent variable modeling with application to case-control sequencing experiments
F William Townes,Barbara E Engelhardt,Contrastive latent variable modeling with application to case-control sequencing experiments
Didong Li,Barbara E Engelhardt,Contrastive latent variable modeling with application to case-control sequencing experiments
Boyang Zhang,Sarah Nyquist,Contrastive linear regression
Boyang Zhang,Andrew Jones,Contrastive linear regression
Boyang Zhang,Barbara E Engelhardt,Contrastive linear regression
Boyang Zhang,Didong Li,Contrastive linear regression
Sarah Nyquist,Andrew Jones,Contrastive linear regression
Sarah Nyquist,Barbara E Engelhardt,Contrastive linear regression
Sarah Nyquist,Didong Li,Contrastive linear regression
Andrew Jones,Barbara E Engelhardt,Contrastive linear regression
Andrew Jones,Didong Li,Contrastive linear regression
Barbara E Engelhardt,Didong Li,Contrastive linear regression
Yueqi Cao,Didong Li,Efficient Weingarten map and curvature estimation on manifolds
Yueqi Cao,Huafei Sun,Efficient Weingarten map and curvature estimation on manifolds
Yueqi Cao,Amir H Assadi,Efficient Weingarten map and curvature estimation on manifolds
Yueqi Cao,Shiqiang Zhang,Efficient Weingarten map and curvature estimation on manifolds
Didong Li,Huafei Sun,Efficient Weingarten map and curvature estimation on manifolds
Didong Li,Amir H Assadi,Efficient Weingarten map and curvature estimation on manifolds
Didong Li,Shiqiang Zhang,Efficient Weingarten map and curvature estimation on manifolds
Huafei Sun,Amir H Assadi,Efficient Weingarten map and curvature estimation on manifolds
Huafei Sun,Shiqiang Zhang,Efficient Weingarten map and curvature estimation on manifolds
Amir H Assadi,Shiqiang Zhang,Efficient Weingarten map and curvature estimation on manifolds
Didong Li,Minerva Mukhopadhyay,Efficient manifold and subspace approximations with spherelets
Didong Li,David B Dunson,Efficient manifold and subspace approximations with spherelets
Minerva Mukhopadhyay,David B Dunson,Efficient manifold and subspace approximations with spherelets
Didong Li,Minerva Mukhopadhyay,Efficient manifold approximation with spherelets
Didong Li,David B Dunson,Efficient manifold approximation with spherelets
Minerva Mukhopadhyay,David B Dunson,Efficient manifold approximation with spherelets
Michael Jetsupphasuk,Didong Li,Estimating causal effects using difference-in-differences under network dependency and interference
Michael Jetsupphasuk,Michael G Hudgens,Estimating causal effects using difference-in-differences under network dependency and interference
Didong Li,Michael G Hudgens,Estimating causal effects using difference-in-differences under network dependency and interference
Minerva Mukhopadhyay,Didong Li,Estimating densities with nonlinear support using Fisher-Gaussian kernels
Minerva Mukhopadhyay,David B Dunson,Estimating densities with nonlinear support using Fisher-Gaussian kernels
Didong Li,David B Dunson,Estimating densities with nonlinear support using Fisher-Gaussian kernels
Emmanuel Chevallier,Didong Li,Exponential-wrapped distributions on symmetric spaces
Emmanuel Chevallier,Yulong Lu,Exponential-wrapped distributions on symmetric spaces
Emmanuel Chevallier,David Dunson,Exponential-wrapped distributions on symmetric spaces
Didong Li,Yulong Lu,Exponential-wrapped distributions on symmetric spaces
Didong Li,David Dunson,Exponential-wrapped distributions on symmetric spaces
Yulong Lu,David Dunson,Exponential-wrapped distributions on symmetric spaces
Tianyu Wang,Yifeng Huang,From the Greene--Wu Convolution to Gradient Estimation over Riemannian Manifolds
Tianyu Wang,Didong Li,From the Greene--Wu Convolution to Gradient Estimation over Riemannian Manifolds
Yifeng Huang,Didong Li,From the Greene--Wu Convolution to Gradient Estimation over Riemannian Manifolds
Wancen Mu,Jiawen Chen,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Wancen Mu,Eric S Davis,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Wancen Mu,Kathleen Reed,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Wancen Mu,Douglas Phanstiel,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Wancen Mu,Michael I Love,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Wancen Mu,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Jiawen Chen,Eric S Davis,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Jiawen Chen,Kathleen Reed,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Jiawen Chen,Douglas Phanstiel,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Jiawen Chen,Michael I Love,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Jiawen Chen,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Eric S Davis,Kathleen Reed,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Eric S Davis,Douglas Phanstiel,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Eric S Davis,Michael I Love,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Eric S Davis,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
